Accuracy_Euclidean,Duration_Euclidean,Accuracy_Manhattan,Duration_Manhattan,Accuracy_Infinity,Duration_Infinity
0.9998,7.4717020988464355,0.9998,8.086052417755127,0.9997666666666667,6.696898698806763
0.9998666666666667,7.4506449699401855,0.9999,8.07193374633789,0.9998666666666667,6.677324295043945
0.9997,7.468749284744263,0.9996666666666667,8.194681406021118,0.9997333333333334,6.674734354019165
0.9998333333333334,7.519531488418579,0.9998333333333334,8.067916870117188,0.9998333333333334,6.690659284591675
0.9997333333333334,7.452439546585083,0.9997,8.08892560005188,0.9996666666666667,6.705776691436768
0.9998,7.476168870925903,0.9998,8.115148544311523,0.9998,6.715930223464966
0.9997,7.662809133529663,0.9997,8.072657585144043,0.9997,6.503448247909546
0.9998333333333334,7.686365127563477,0.9998666666666667,8.052627563476562,0.9998,6.516737699508667
0.9998333333333334,7.627234220504761,0.9998,8.09265422821045,0.9998333333333334,6.501911878585815
0.9998333333333334,7.6182191371917725,0.9998333333333334,8.062699794769287,0.9998333333333334,6.6992504596710205
