Accuracy_Euclidean,Duration_Euclidean,Accuracy_Manhattan,Duration_Manhattan,Accuracy_Infinity,Duration_Infinity
0.9998,24.006128549575806,0.9997666666666667,21.6101553440094,0.9997333333333334,18.805519104003906
0.9998333333333334,24.019213438034058,0.9998333333333334,20.520020246505737,0.9998,18.755919933319092
0.9998,24.013317108154297,0.9998333333333334,20.791443824768066,0.9997666666666667,18.379075527191162
0.9997666666666667,23.636162996292114,0.9998,20.350141286849976,0.9997333333333334,18.966813802719116
0.9997333333333334,24.01151967048645,0.9997333333333334,20.234142303466797,0.9997333333333334,19.095104932785034
0.9996333333333334,24.103349685668945,0.9996,20.754729509353638,0.9996666666666667,18.7294282913208
0.9998,23.968349933624268,0.9998333333333334,20.381359100341797,0.9998,19.104312419891357
0.9998,23.902101516723633,0.9997666666666667,20.49760341644287,0.9998,18.15088152885437
0.9997,23.946781635284424,0.9997,20.341320276260376,0.9997,18.267951726913452
0.9996333333333334,23.823238134384155,0.9996666666666667,20.645989894866943,0.9996,18.9363534450531
